,sub_id,age,condition,1.11Hz,1.67Hz,3.3Hz
74,me2_104_7m,7mo,triple,1.181350954077141e-25,3.511593246918345e-26,2.0298805567541702e-25
75,me2_120_7m,7mo,triple,1.6816233068610912e-25,9.023923498119358e-26,1.0114591493621717e-25
76,me2_106_7m,7mo,triple,7.689178078827051e-26,2.894613315610546e-26,1.5984552304582976e-25
77,me2_216_7m,7mo,triple,1.0363185393061133e-25,2.6004024786944533e-26,2.3206266558518126e-25
78,me2_114_7m,11mo,random,1.1269205681106224e-25,8.22862107011271e-26,2.807289078493951e-26
79,me2_211_7m,11mo,random,6.368661074049887e-26,3.515593880004034e-26,1.7429838133602645e-26
80,me2_116_7m,11mo,random,5.484603954128556e-26,2.6134826381293485e-26,1.497126319696444e-26
81,me2_113_7m,11mo,random,1.733105189657796e-25,7.573219120472383e-26,2.989130615544967e-26
82,me2_206_7m,11mo,random,8.6904373060257e-26,4.4219323165839767e-26,1.4042734039334483e-26
83,me2_127_7m,11mo,random,7.378588839936329e-26,9.446258585761549e-26,2.257722993117785e-26
84,me2_218_7m,11mo,random,1.8445805744435255e-25,7.836389641508637e-26,2.3378729158850994e-26
85,me2_204_7m,11mo,random,1.297013965663553e-25,5.77698340513519e-26,2.825268271893225e-26
86,me2_101_7m,11mo,random,1.7375212910518576e-25,8.349291193728e-26,3.216748196030217e-26
87,me2_111_7m,11mo,random,1.5055865623276078e-25,6.625821225029611e-26,3.06560056232833e-26
88,me2_221_7m,11mo,random,1.5611751023994733e-25,1.2908509632854035e-25,2.6999456466555673e-26
89,me2_128_7m,11mo,random,1.343712848190828e-25,1.1387947908855467e-25,3.5597650607917015e-26
90,me2_209_7m,11mo,random,1.5165062965344989e-25,1.2036082872834458e-25,3.640958771555481e-26
91,me2_212_7m,11mo,random,9.051697822715366e-26,6.512595696937205e-26,5.258862999544667e-26
92,me2_117_7m,11mo,random,1.2457419753612904e-25,6.255527014194414e-26,2.233751303255012e-26
93,me2_112_11m,11mo,random,1.0187759667876891e-25,3.980053188533082e-26,1.585494712140932e-26
94,me2_129_11m,11mo,random,8.336070246047385e-26,6.561073871460285e-26,3.319192778518619e-26
95,me2_315_11m,11mo,random,1.137422858023248e-25,4.688508311622025e-26,2.2407970797871312e-26
96,me2_325_11m,11mo,random,1.5168506435004674e-25,1.4610150161005049e-25,4.223975444986745e-26
97,me2_301_11m,11mo,random,2.4558204172666567e-25,8.691349117347359e-26,6.089963842920891e-26
98,me2_304_11m,11mo,random,6.335361211952358e-26,4.539617584272861e-26,2.0603968362814216e-26
99,me2_122_11m,11mo,random,1.5305822586631056e-25,7.166140241104547e-26,3.054710236267774e-26
100,me2_323_11m,11mo,random,1.6373496069684634e-25,8.06339005566623e-26,5.142004416472123e-26
101,me2_311_11m,11mo,random,1.327642325687948e-25,7.332808071066209e-26,2.1077456017744123e-26
102,me2_124_11m,11mo,random,8.785314409769116e-26,4.907393375233733e-26,3.1102227207762425e-26
103,me2_314_11m,11mo,random,8.87318428148298e-26,3.518367195565153e-26,1.9223287358238913e-26
104,me2_303_11m,11mo,duple,6.638836685606705e-26,9.047115829172328e-26,2.577109451686189e-25
105,me2_102_11m,11mo,duple,7.322584596218747e-26,4.050972509611977e-26,1.702250825113717e-25
106,me2_309_11m,11mo,duple,9.906973822521518e-26,7.297115019805065e-26,6.015185952721741e-26
107,me2_313_11m,11mo,duple,2.8140841781001643e-25,1.7131547881357307e-25,8.48126912733171e-25
108,me2_108_11m,11mo,duple,1.3474980431082267e-25,8.12638692840797e-26,1.6998635209610248e-25
109,me2_324_11m,11mo,duple,1.4885855481345866e-25,1.070688524415017e-25,2.3761151815490476e-25
110,me2_307_11m,11mo,duple,9.244760854552105e-26,1.4543173340839006e-25,3.726808151494778e-25
111,me2_319_11m,11mo,duple,1.2512208339490343e-25,1.449343489867652e-25,3.367205084122875e-25
112,me2_326_11m,11mo,duple,2.055806739049334e-25,1.6590272909244206e-25,2.0807843009571923e-25
113,me2_312_11m,11mo,duple,1.391497898395082e-25,5.916274181530384e-26,1.9033605030614572e-25
114,me2_305_11m,11mo,duple,1.2761987731036181e-25,2.0930864704744305e-25,7.231903432234299e-26
115,me2_110_11m,11mo,duple,1.7481631216117433e-25,1.8396770386511421e-25,6.521081262161405e-25
116,me2_321_11m,11mo,duple,1.6078268802539416e-25,1.4484154857571773e-25,2.9688242576031183e-25
117,me2_308_11m,11mo,duple,2.632849825877309e-25,1.8563020353472434e-25,1.537736735377045e-25
118,me2_310_11m,11mo,duple,7.875127371491954e-26,9.454354478055926e-26,4.8959174904674824e-26
119,br_03,11mo,duple,5.632425587106646e-26,9.483124887622222e-26,2.876787659900694e-25
120,br_05,11mo,duple,1.0780434570704977e-25,9.629252095422659e-26,4.690050950852173e-25
121,br_09,11mo,duple,9.80668619830789e-26,8.085151800414159e-26,5.244219754759427e-25
122,br_17,11mo,duple,3.990106079012727e-26,1.305886021917819e-25,5.149143002172184e-25
123,br_13,11mo,duple,1.452269538727507e-25,1.087602610559989e-25,3.0017690092290566e-25
124,br_16,11mo,duple,7.741212454352471e-26,2.5733835612252226e-25,4.702048565036384e-25
125,br_12,11mo,duple,1.9354187913109765e-25,1.2007245264993214e-25,6.443080016281331e-26
126,br_10,11mo,duple,1.8226385793134106e-25,9.829148255342019e-26,2.3689837473605157e-25
127,br_07,11mo,duple,1.2094742990369724e-25,9.60116837376854e-26,3.1459293414388313e-25
128,br_01,11mo,duple,1.099715882325751e-25,1.0734530819287504e-25,1.986443068229342e-25
129,br_06,11mo,duple,1.255894252778126e-25,1.0302913320871934e-25,1.0928978004776515e-25
130,br_08,11mo,triple,1.2959875134851455e-25,4.818008223789398e-26,2.1808748251072424e-25
131,br_04,11mo,triple,4.8308445755019486e-26,2.909482985646177e-26,1.859417359899085e-25
132,br_14,11mo,triple,1.0053527257982579e-25,2.544597917307718e-26,8.822939370618434e-26
133,br_02,11mo,triple,2.2606669908565035e-25,1.1325901792419904e-25,5.556659848809884e-25
134,me2_119_7m,11mo,triple,1.2845022803401063e-25,2.149815290028213e-26,9.436965734964262e-26
